DIVISION,N°REQ,CHARGER,S/D,ITEM,DESIGNATION,Delai LIV,N°CDE,Item1,FOURNISSEEUR,N°BRC,ITEM2,statu,N° CONTRAT,EXP/ENC,Champ19,Champ20,Champ21,Champ22,Champ23,Champ24,Champ25,Champ26,Champ27,Champ28,Champ29,Champ30,Champ31,Champ32,Champ33,Champ34,Champ35,Champ36,Champ37,Champ38,Champ39,Champ40,Champ41,Champ42,Champ43,Champ44,Champ45,Champ46,Champ47,Champ48,Champ49,Champ50,Champ51,Champ52,Champ53,Champ54,Champ55,Champ56,Champ57,Champ58,Champ59,Champ60,Champ61,Champ62,Champ63,Champ64,Champ65,Champ66,Champ67,Champ68,Champ69,Champ70,Champ71,Champ72,Champ73,Champ74,Champ75,Champ76,Champ77,Champ78,Champ79,Champ80,Champ81,Champ82,Champ83,Champ84,Champ85,Champ86,Champ87,Champ88,Champ89,Champ90,Champ91,Champ92,Champ93,Champ94,Champ95,Champ96,Champ97,Champ98,Champ99,Champ100,Champ101,Champ102,Champ103,Champ104,Champ105,Champ106,Champ107,Champ108,Champ109,Champ110,Champ111,Champ112,Champ113,Champ114,Champ115,Champ116,Champ117,Champ118,Champ119,Champ120,Champ121,Champ122,Champ123,Champ124,Champ125,Champ126,Champ127,Champ128,Champ129,Champ130,Champ131,Champ132,Champ133,Champ134,Champ135,Champ136,Champ137,Champ138,Champ139,Champ140,Champ141,Champ142,Champ143,Champ144,Champ145,Champ146,Champ147,Champ148,Champ149,Champ150,Champ151,Champ152,Champ153,Champ154,Champ155,Champ156,Champ157,Champ158,Champ159,Champ160,Champ161,Champ162,Champ163,Champ164,Champ165,Champ166,Champ167,Champ168,Champ169,Champ170,Champ171,Champ172,Champ173,Champ174,Champ175,Champ176,Champ177,Champ178,Champ179,Champ180,Champ181,Champ182,Champ183,Champ184,Champ185,Champ186,Champ187,Champ188,Champ189,Champ190,Champ191,Champ192,Champ193,Champ194,Champ195,Champ196,DATE,DATE CED,DATE1
"DAT","YR002",,"D","3","P/R POUR GRUE 1025 N°SH:8852 DAT",,,,,,,"ENCOUR","CONSULTATION",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/20/10 00:00:00",,
"DEP","YR003",,"D","2","SALT(NALC)+BENTONITE.SX",,"YJ974Y","2","BASP/HMD","YT4660","2","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/22/10 00:00:00","06/24/10 00:00:00","07/12/10 00:00:00"
"DAT","YR004",,"S","4","P/R POUR CAMION SNVI",,"YJ988Y","4","SNVI/OGX","YT4683","2","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/22/10 00:00:00","07/09/10 00:00:00","07/13/10 00:00:00"
"PER","YS744","ZEGHDA","D","36","ARTICLE DE SPORT",,"YL437Y","33","BEHMENE   AHMED  OGX","YA0369","13","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/19/18 00:00:00","10/10/18 00:00:00","11/19/18 00:00:00"
"EXP","YS796","BOURGH","D","1","PROPANE LIQUIDE 97% DE PURETE",,"YL358Y","1","NAFTAL HMD","YA0169","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/01/18 00:00:00","06/01/18 00:00:00","06/30/18 00:00:00"
"REAL","YS810","ZEGHDA","S","45","MATERIEL ELECTRIQUE","45","YL379Y","45","ETS DEBBAKH  TAHAR  TOUGOURT","YA0156","32","ENCOUR","DEBBAKH-I/2018/INFRA/14","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06/28/18 00:00:00","07/12/18 00:00:00","07/22/18 00:00:00"
,,,,,,,,,,"YA0261","12","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/06/18 00:00:00"
,,,,,,,,,,"YA0308","3","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/12/18 00:00:00"
"DAT","YS833","ZITOUNI","D","1","GAS-OIL",,"YL401Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"08/12/18 00:00:00","08/14/18 00:00:00",
"DAT","YS851","ZEGHDA","D","3","GAZ INDUSTRIEL",,"YL417Y","4","LINDE GAZ OGX","YA0274","3","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09/09/18 00:00:00","09/11/18 00:00:00","09/13/18 00:00:00"
,,,,,,,,,,"YA0341","3","ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/29/18 00:00:00"
"INFRA","YS882","ZEGHDA","S","1","GRILLAGE ZEMMERMANE",,"YL446Y","1","ETS HATHAT OGX","YA0367","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/21/18 00:00:00","10/24/18 00:00:00","11/14/18 00:00:00"
"DAT","YS891","ZEGHDA","S","4","GAZ INDUSTRIEL",,"YL451Y","4","LINDE GAZ OGX","YA0355","3","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10/29/18 00:00:00","11/04/18 00:00:00","11/09/18 00:00:00"
"MOG","YS902","BOURGH","D","1","REMPLISSAGE SPHERE GAZ PROPANE",,"YL459Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/19/18 00:00:00","11/19/18 00:00:00",
"EXP","YS905","BOUAGA","D","1","PROPANE LIQUIDE 97% DE PURETE",,"YL460Y","1","NAFTAL HMD",,,"ENCOUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11/26/18 00:00:00","11/28/18 00:00:00",
"DAT","YS920","ZEGHDA","S","1","REMPLISSAGE   OXYGENE",,"YL482Y","1","LINDE GAZ OGX","YA0199","1","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12/27/18 00:00:00","01/06/19 00:00:00","03/06/19 00:00:00"
"INFRA","YS925","SABAA","S","28","MATERIEL DE MENUISERIE",,"YL500Y","28","ABDELLAOUI  MERMOURI TTS HMD","YA0194","18","SOLDEE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"01/07/19 00:00:00","01/21/19 00:00:00","02/27/19 00:00:00"
